productCode	productName	productSale	categoryID	productStatus	productPrice	productOldPrice	productSize	productDescription	productImagesDetail	productImages	productInfo
MBL267	Tee Tele Bear		C05	Available	390,000đ	N/A	S, M, L	 'Áo thun màu trắng trơn basic.'; 'Hình ảnh chú gấu teddy được in ở mặt trước của áo thun.'; 'Chú gấu teddy có màu nâu, khuôn mặt đáng yêu với đôi mắt to tròn, chiếc mũi nhỏ nhắn và miệng cười tươi.'; 'Chú gấu teddy đang ôm một chiếc máy sấy tóc màu hồng.'; 'Áo thun có form rộng rãi, thoải mái.'; 'Mô tả:'; 'Áo thun hình gấu teddy là một sản phẩm thời trang dễ thương và đáng yêu, phù hợp cho mọi lứa tuổi.'; 'Chất liệu thun cotton mềm mại, co giãn tốt, thoáng mát, phù hợp với mọi thời tiết.'	https://monatabluelight.com/images/products/2024/05/22/original/mặt-trước_white1716369108_1716369108.jpg,https://monatabluelight.com/images/products/2024/05/22/large/mặt-trước_white1716369108_1716369108.jpg,https://monatabluelight.com/images/products/2024/05/22/small/mặt-trước_white1716369108_1716369108.jpg,https://monatabluelight.com/images/products/2024/05/22/small/Chi tiết 1_1716369196_1.jpg,https://monatabluelight.com/images/products/2024/05/22/small/Chi tiết 2_1716369195_1.jpg,https://monatabluelight.com/images/products/2024/05/22/small/Chi tiết 3_1716369196_1.jpg,https://monatabluelight.com/images/products/2024/05/22/small/Mặt trước_1716369195_1.jpg,	https://monatabluelight.com/images/products/2024/05/22/large/mặt-trước_white1716369108_1716369108.jpg,https://monatabluelight.com/images/products/2024/05/22/large/mặt-trước1716369108_1716369108.jpg	https://cf.shopee.vn/file/vn-11134208-7r98o-lvjvxedn75noda
MBL266	Tee Quotes		C05	Available	390,000đ	N/A	S, M, L	 'Áo thun màu trắng đơn giản, dễ phối hợp với nhiều trang phục khác nhau.'; 'In chữ màu đỏ ở mặt trước với nội dung "Work Seriously, Sincere Attitude, Proud Of Our Product", tạo điểm nhấn đặc biệt và thể hiện thông điệp tích cực.'; 'Kiểu dáng: Áo thun unisex, phù hợp cho cả nam và nữ, form áo rộng rãi, thoải mái.'; 'Kích cỡ: Có nhiều size cho bạn lựa chọn từ S đến L.'; 'Màu sắc: Trắng với chữ in đỏ.'	https://monatabluelight.com/images/products/2024/05/22/original/mặt-trước1716367970_1716367970.jpg,https://monatabluelight.com/images/products/2024/05/22/large/mặt-trước1716367970_1716367970.jpg,https://monatabluelight.com/images/products/2024/05/22/small/mặt-trước1716367970_1716367970.jpg,https://monatabluelight.com/images/products/2024/05/22/small/Mặt trước_1716368038_1.jpg,https://monatabluelight.com/images/products/2024/05/22/small/Chi tiết 2_1716368038_1.jpg,https://monatabluelight.com/images/products/2024/05/22/small/Chi tiết 1_1716368039_1.jpg,https://monatabluelight.com/images/products/2024/05/22/small/Chi tiết 4_1716368039_1.jpg,https://monatabluelight.com/images/products/2024/05/22/small/Chi tiết 3_1716368040_1.jpg,	https://monatabluelight.com/images/products/2024/05/22/large/mặt-trước1716367970_1716367970.jpg,https://monatabluelight.com/images/products/2024/05/22/large/chi-tiết-11716367970_1716367970.jpg	https://cf.shopee.vn/file/vn-11134208-7r98o-lvlih5u6sqdtb6
MBL265	Tee Pocket		C05	Available	390,000đ	N/A	S, M, L	 'Chất liệu: Cotton cao cấp, mềm mại, thoáng mát, thấm hút mồ hôi, mang lại cảm giác dễ chịu khi mặc.'; 'Thiết kế:'; 'Áo thun màu trắng đơn giản nhưng tinh tế, dễ phối hợp với nhiều trang phục khác nhau.'; 'In hình túi màu xanh trên ngực áo với dòng chữ "Monatblue" cùng các chữ nhỏ phía dưới, tạo điểm nhấn độc đáo và phong cách trẻ trung, hiện đại.'; 'Kiểu dáng: Áo thun unisex, phù hợp cho cả nam và nữ, form áo rộng rãi, thoải mái.'; 'Kích cỡ: Có nhiều size cho bạn lựa chọn từ S đến L.'; 'Màu sắc: Trắng với hình in xanh.'	https://monatabluelight.com/images/products/2024/05/22/original/mặt-trước1716367715_1716367715.jpg,https://monatabluelight.com/images/products/2024/05/22/large/mặt-trước1716367715_1716367715.jpg,https://monatabluelight.com/images/products/2024/05/22/small/mặt-trước1716367715_1716367715.jpg,https://monatabluelight.com/images/products/2024/05/22/small/Mặt trước_1716367832_1.jpg,https://monatabluelight.com/images/products/2024/05/22/small/Mặt sau_1716367836_1.jpg,https://monatabluelight.com/images/products/2024/05/22/small/Chi tiết 3_1716367837_1.jpg,https://monatabluelight.com/images/products/2024/05/22/small/Chi tiết 2_1716367837_1.jpg,https://monatabluelight.com/images/products/2024/05/22/small/Chi tiết 1_1716367838_1.jpg,https://monatabluelight.com/images/products/2024/05/22/small/Chi tiết 4_1716367838_1.jpg,	https://monatabluelight.com/images/products/2024/05/22/large/mặt-trước1716367715_1716367715.jpg,https://monatabluelight.com/images/products/2024/05/22/large/mặt-sau1716367715_1716367715.jpg	https://cf.shopee.vn/file/vn-11134208-7r98o-lvjvxedn8jv1b4
MBL259	Quần short kaki trơn thêu Logo M		C02	Available	290,000đ	N/A	M, L, XL, 2XL	 ''; 'Tên sản phẩm: MONAT BLUE SHORT M - Quần short kaki trơn thêu Logo M unisex'; 'Chất liệu: Vải kaki cotton cao cấp'; 'Thiết kế basic, đơn giản, dễ phối đồ, phù hợp với nhiều dáng người và phong cách.'; 'Quần có chiều dài vừa phải, không quá ngắn cũng không quá dài, giúp bạn thoải mái vận động.'; 'Quần có 2 túi bên hông tiện lợi để đựng đồ.'	https://monatabluelight.com/images/products/2024/05/03/original/mặt-trước1714727339_1714727339.jpg,https://monatabluelight.com/images/products/2024/05/03/large/mặt-trước1714727339_1714727339.jpg,https://monatabluelight.com/images/products/2024/05/03/small/mặt-trước1714727339_1714727339.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Toàn thân_1714727427_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Mẫu cận_1714727428_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 1_1714727403_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 2_1714727403_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 3_1714727404_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Mặt trước_1714727402_1.jpg,https://monatabluelight.com/images/products/2024/05/14/small/7_1715670444_1.jpg,https://monatabluelight.com/images/products/2024/05/14/small/shortnaum_1715663637_1.png,https://monatabluelight.com/images/products/2024/05/14/small/4_1715670443_1.jpg,https://monatabluelight.com/images/products/2024/05/14/small/6_1715670443_1.jpg,https://monatabluelight.com/images/products/2024/05/14/small/shortxamm_1715663643_1.png,https://monatabluelight.com/images/products/2024/05/14/small/1_1715670443_1.jpg,https://monatabluelight.com/images/products/2024/05/14/small/shortmkem_1715663637_1.jpg,	https://monatabluelight.com/images/products/2024/05/03/large/mặt-trước1714727339_1714727339.jpg,https://monatabluelight.com/images/products/2024/05/03/large/chi-tiết-31714727340_1714727340.jpg	https://cf.shopee.vn/file/vn-11134208-7r98o-lunauh1rru36e1
MBL264	Áo Sơ Mi Kẻ Sọc Oxford		C01	Available	450,000đ	N/A	S, M, L	 'MONAT BLUE - Áo Sơ Mi Kẻ Sọc Tay Dài logo thêu Chất Liệu Oxford unisex'; 'Với thiết kế kẻ sọc tinh tế và logo thêu tinh xảo, chiếc áo sơ mi này không chỉ là một lựa chọn thời trang mà còn là biểu tượng của phong cách và sự tinh tế. Chất liệu Oxford cao cấp mang lại sự thoải mái và độ bền đáng kinh ngạc, tạo nên sự tự tin và sang trọng cho người mặc.'; 'Áo sơ mi unisex này được thiết kế để phản ánh sự đa chiều và cá nhân của bạn. Cho dù bạn là nam hay nữ, chiếc áo này sẽ làm nổi bật vẻ đẹp và phong cách riêng của bạn mỗi khi diện lên.'	https://monatabluelight.com/images/products/2024/05/03/original/mat-sau1714731553_1714731553.jpg,https://monatabluelight.com/images/products/2024/05/03/large/mat-sau1714731553_1714731553.jpg,https://monatabluelight.com/images/products/2024/05/03/small/mat-sau1714731553_1714731553.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Mặt sau_1714731772_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 4_1714731773_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Mặt trước_1714731774_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 3_1714731776_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 2_1714731776_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/DSCF0722 vuong_1714731812_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/DSCF0704 vuong_1714731812_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/DSCF0742 vuong_1714731818_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Mặt sau_1714731750_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 4_1714731751_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Mặt trước_1714731751_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 3_1714731754_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 2_1714731754_1.jpg,	https://monatabluelight.com/images/products/2024/05/03/large/mat-sau1714731553_1714731553.jpg,https://monatabluelight.com/images/products/2024/05/03/large/mat-sau1714731733_1714731733.jpg	https://cf.shopee.vn/file/vn-11134208-7r98o-lunauh1rqfiqdc
MBL255	Áo sơ mi flannel kẻ sọc caro		C01	Available	490,000đ	N/A	M, L	 'Tên sản phẩm: MONAT BLUE FLANNEL - Áo sơ mi flannel kẻ sọc caro form rộng unisex'; 'Áo sơ mi flannel form rộng này phù hợp cho cả nam và nữ. Chất liệu 100% cotton mềm mại, thoáng mát, thoải mái khi mặc. Họa tiết kẻ caro xanh trắng cổ điển và thời trang. Có thể mặc riêng hoặc phối với các trang phục khác. Phù hợp cho trang phục hàng ngày, đi học, đi làm hoặc đi chơi cuối tuần.'; 'Chi tiết sản phẩm:'; 'Áo có cổ bẻ và tay dài. Form rộng rãi, thoải mái khi mặc cả ngày. Họa tiết kẻ caro được in lên vải bằng kỹ thuật bền bỉ, không phai màu hoặc bong tróc khi giặt.'; 'Hướng dẫn bảo quản:'; 'Giặt máy với nước lạnh cùng với quần áo có màu tương tự. Sấy khô ở nhiệt độ thấp hoặc phơi khô.Không sử dụng thuốc tẩy. Ủi ở nhiệt độ thấp.'	https://monatabluelight.com/images/products/2024/05/03/original/xanh-dậm-_mặt-trước1714724689_1714724689.jpg,https://monatabluelight.com/images/products/2024/05/03/large/xanh-dậm-_mặt-trước1714724689_1714724689.jpg,https://monatabluelight.com/images/products/2024/05/03/small/xanh-dậm-_mặt-trước1714724689_1714724689.jpg,https://monatabluelight.com/images/products/2024/05/03/small/DSCF7928 vuong_1714724719_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/DSCF0613 vuong_1714724721_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Xanh đậm _mặt trước_1714724869_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 4_1714724720_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 2_1714724720_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 3_1714724721_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Xanh nhạt _mặt trước_1714724870_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Xanh nhạt_mặt sau_1714724871_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Xanh đậm _mặt sau_1714724870_1.jpg,	https://monatabluelight.com/images/products/2024/05/03/large/xanh-dậm-_mặt-trước1714724689_1714724689.jpg,https://monatabluelight.com/images/products/2024/05/03/large/xanh-nhạt-_mặt-trước1714724690_1714724690.jpg	https://cf.shopee.vn/file/vn-11134208-7r98o-lut48k4z4glu54
MBL262	Widen Jeans		C07	Available	650,000đ	N/A	L, XL, 2XL	 'Quần Widen Jeans ống rộng cao cấp'; 'Thiết kế ống quần rộng của chiếc quần jean này không chỉ mang lại sự thoải mái tuyệt đối mà còn tạo điểm nhấn độc đáo cho phong cách của bạn. Chất liệu cao cấp được sử dụng kỹ lưỡng, đảm bảo độ bền và mềm mại, giúp bạn tự tin diện mọi nơi mà không gặp bất kỳ khó khăn nào.'; 'MONAT BLUE Widen Jeans là biểu tượng của sự đa chiều và cá nhân. Dành cho cả nam và nữ, chiếc quần jean này dễ dàng kết hợp với nhiều loại áo và phụ kiện khác nhau, từ áo thun đến áo sơ mi, từ giày sneaker đến giày boots, để tạo nên phong cách độc đáo và ấn tượng.'; ''	https://monatabluelight.com/images/products/2024/05/03/original/mặt-trước1714728805_1714728805.jpg,https://monatabluelight.com/images/products/2024/05/03/large/mặt-trước1714728805_1714728805.jpg,https://monatabluelight.com/images/products/2024/05/03/small/mặt-trước1714728805_1714728805.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Mặt trước_1714729371_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Mặt sau_1714729371_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 4_1714729372_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 3_1714729373_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/DSCF0692 vuong_1714729445_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/DSCF0701 vuong_1714729446_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Mặt trước_1714729311_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Mặt sau_1714729312_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 4_1714729314_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 3_1714729314_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/DSCF0685 vuong_1714729445_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/DSCF0633 vuong_1714729447_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 2_1714729314_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 2_1714729372_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/DSCF0630 vuong_1714729446_1.jpg,	https://monatabluelight.com/images/products/2024/05/03/large/mặt-trước1714728805_1714728805.jpg,https://monatabluelight.com/images/products/2024/05/03/large/mặt-trước1714728806_1714728806.jpg	https://cf.shopee.vn/file/vn-11134208-7r98o-luufud9qq32qe1
MBL260	Regular Straight Jeans		C07	Available	550,000đ	N/A	L, XL, 2XL	 'MONAT BLUE - Quần Jean Basics form suông đứng dáng Regular Straight cao cấp'; 'Với thiết kế form suông đứng dáng Regular Straight, chiếc quần jean này không chỉ mang lại sự thoải mái mà còn tôn lên vẻ đẹp tự nhiên của dáng người. Chất liệu cao cấp được sử dụng cẩn thận, đảm bảo độ bền và mềm mại, giúp bạn tự tin diện từ sáng đến tối mà không cảm thấy mệt mỏi.'; ''	https://monatabluelight.com/images/products/2024/05/03/original/mặt-trước1714727616_1714727616.jpg,https://monatabluelight.com/images/products/2024/05/03/large/mặt-trước1714727616_1714727616.jpg,https://monatabluelight.com/images/products/2024/05/03/small/mặt-trước1714727616_1714727616.jpg,https://monatabluelight.com/images/products/2024/05/03/small/vn-11134207-7r98o-lut28jz0lmaa76_1714728015_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Mặt trước_1714727972_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 4_1714727974_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 3_1714727974_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 2_1714727975_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/DSCF0650 vuong_1714728015_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/DSCF0652 vuong_1714728015_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Mặt sau_1714728019_1.jpg,	https://monatabluelight.com/images/products/2024/05/03/large/mặt-trước1714727616_1714727616.jpg,https://monatabluelight.com/images/products/2024/05/03/large/mặt-sau1714727617_1714727617.jpg	https://cf.shopee.vn/file/vn-11134208-7r98o-lunauh1rp0yac6
MBL263	Quần kaki ống rộng - Widen kaki pants		C07	Available	490,000đ	N/A	M, L, XL, 2XL	 'Quần kaki ống rộng - Widen kaki pants'; 'Thiết kế ống quần rộng của chiếc quần kaki này không chỉ mang lại sự thoải mái tuyệt đối mà còn tạo điểm nhấn độc đáo cho phong cách của bạn. Chất liệu cao cấp được sử dụng kỹ lưỡng, đảm bảo độ bền và mềm mại, giúp bạn tự tin diện mọi nơi mà không gặp bất kỳ khó khăn nào.'; ''; ''	https://monatabluelight.com/images/products/2024/05/03/original/mặt-trước1714730548_1714730548.jpg,https://monatabluelight.com/images/products/2024/05/03/large/mặt-trước1714730548_1714730548.jpg,https://monatabluelight.com/images/products/2024/05/03/small/mặt-trước1714730548_1714730548.jpg,https://monatabluelight.com/images/products/2024/05/03/small/DSCF0492 vuong_1714731999_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/DSCF0501 vuong_1714732003_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/DSCF0500 vuong_1714732001_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/DSCF0504 vuong_1714732001_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/DSCF0497 vuong_1714732000_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 2(1)_1714731978_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 1(1)_1714731977_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 3(1)_1714731977_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Mặt trước(1)_1714731976_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/DSCF0517_1714732001_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/DSCF0526 vuong_1714732002_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/DSCF0524 VUONG_1714732000_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 3_1714730792_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 2_1714730792_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 1_1714730791_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Mặt trước_1714730790_1.jpg,	https://monatabluelight.com/images/products/2024/05/03/large/mặt-trước1714730548_1714730548.jpg,https://monatabluelight.com/images/products/2024/05/03/large/mặt-trước11714731875_1714731875.jpg	https://cf.shopee.vn/file/vn-11134208-7r98o-luufud9qyihecb
MBL261	Áo thun huy hiệu UNIVERSITY EMBLEM		C05	Available	390,000đ	N/A	S, M, L	 'Tên sản phẩm: MONAT BLUE Tee UNIVERSITY EMBLEM - Áo thun chất cotton form rộng unisex'; 'Áo thun form rộng unisex, phù hợp cho cả nam và nữ. Chất liệu cotton 100% mềm mại, thoáng mát, thấm hút mồ hôi tốt. Logo "MONAT BLUE" được in nổi bật trên ngực áo. Có in huy hiệu của trường đại học cùng với họa tiết hoa văn. Kiểu dáng đơn giản, dễ phối đồ. Có thể mặc đi học, đi chơi, đi làm,...'; 'Logo "MONAT BLUE" được in bằng kỹ thuật in lụa cao cấp, đảm bảo độ bền đẹp. Huy hiệu trường đại học được in bằng kỹ thuật in cao su, đảm bảo độ sắc nét và bền màu. Đường may chắc chắn, tỉ mỉ. Cổ áo tròn, tay ngắn. Form áo rộng rãi, thoải mái.'; ''	https://monatabluelight.com/images/products/2024/05/03/original/mặt-trước1714728177_1714728177.jpg,https://monatabluelight.com/images/products/2024/05/03/large/mặt-trước1714728177_1714728177.jpg,https://monatabluelight.com/images/products/2024/05/03/small/mặt-trước1714728177_1714728177.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Mặt trước_1714728341_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 2_1714728341_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 1_1714728341_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 3_1714728342_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/440865569_459154936477916_7069494555947436817_n_1714728352_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/DSCF0583 vuong_1714728355_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Mặt trước_1714728334_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 1_1714728335_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 3_1714728335_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 2_1714728336_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/441044537_459250459801697_7934797663515391318_n_1714728351_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/DSCF0495 vuong_1714728353_1.jpg,https://monatabluelight.com/images/products/2024/05/03/small/440888204_459248006468609_7979653523386750080_n_1714728354_1.jpg,	https://monatabluelight.com/images/products/2024/05/03/large/mặt-trước1714728177_1714728177.jpg,https://monatabluelight.com/images/products/2024/05/03/large/mặt-trước1714728178_1714728178.jpg	https://cf.shopee.vn/file/vn-11134208-7r98o-lunauh1rm7te91
